UWI,MEDIAN_WFMP Upper A - ARITH_MEAN_DPHI_100,MEDIAN_WFMP Upper A - ARITH_MEAN_Resistivity_ALS,MEDIAN_WFMP Upper A - GROSS,MEDIAN_WFMP Upper A - NET_DPHI>8,MEDIAN_WFMP Upper A - NET_GR>75_DPHI>8,MEDIAN_WFMP Upper A - NET_Res>30,MEDIAN_WFMP_UA_MRKR_SSTVD,VARIANCE_WFMP Upper A - ARITH_MEAN_DPHI_100,VARIANCE_WFMP Upper A - ARITH_MEAN_Resistivity_ALS,VARIANCE_WFMP Upper A - GROSS,VARIANCE_WFMP Upper A - NET_DPHI>8,VARIANCE_WFMP Upper A - NET_GR>75_DPHI>8,VARIANCE_WFMP Upper A - NET_Res>30,VARIANCE_WFMP_UA_MRKR_SSTVD
42301338300000,1.71,62.41,105.4,10.12,96.29,103.61,-8121.18,0.17,0.12,0.29,8.62,1.46,0.49,1715.08
42301340760000,11.94,82.31,93.49,98.56,110.03,103.48,-8251.23,0.03,22.78,1.24,5.58,1.4,2.24,1007.75
42301341540000,9.85,98.79,86.0,77.28,,94.95,-8236.6,0.0,17.21,1.73,1.7,,1.27,112.35
42301342290000,8.42,59.66,104.89,69.5,97.9,105.4,-8045.17,0.51,0.18,0.37,70.31,0.9,0.0,48.93
42301342830000,9.59,59.02,126.99,100.38,102.35,128.4,-8097.73,0.0,0.18,0.38,0.18,2.78,0.05,171.61
42301342840000,9.59,59.59,128.19,100.86,102.24,128.97,-8080.77,0.0,0.24,0.38,0.21,2.85,0.05,163.17
42301346000000,9.59,62.08,131.59,102.26,100.68,131.12,-8011.48,0.0,0.22,0.09,0.13,1.2,0.02,83.83
42301346100000,9.59,60.98,129.83,101.46,101.0,130.14,-8041.89,0.0,0.18,0.09,0.12,1.32,0.03,95.11
42301347790000,9.65,56.45,119.3,97.6,98.76,125.69,-8126.54,0.0,0.49,3.57,0.0,2.2,1.01,1063.43
42301349820000,9.81,56.0,114.16,95.76,110.59,119.42,-8341.14,0.01,0.19,3.18,0.04,3.7,0.04,86.55
42301354340000,9.59,57.72,121.82,97.8,97.9,126.91,-8097.63,0.01,1.4,4.84,0.01,2.85,1.42,1364.8
42389327300100,9.83,134.29,122.72,83.16,72.99,120.18,-7522.52,0.02,10.9,0.39,0.03,0.68,1.31,18.27
42389332570000,11.25,91.61,79.11,69.16,63.79,75.72,-8094.24,0.01,2.28,0.01,0.21,0.26,0.71,2.59
42389333000000,10.22,91.63,80.72,67.18,,83.4,-8046.74,0.01,0.37,0.01,0.21,,0.24,64.77
42389334110000,10.34,86.44,89.8,65.27,66.59,82.59,-8001.95,0.0,16.19,0.05,0.42,0.2,0.05,103.21
42389334400200,3.96,178.34,97.6,20.8,10.07,92.71,-7370.12,0.11,2.0,3.98,8.92,1.6,1.61,239.79
42389334660000,9.81,131.11,82.26,68.16,47.79,93.42,-7564.81,0.17,9.66,1.35,9.3,2.32,1.22,22.41
42389334900000,10.84,140.65,88.14,72.56,55.59,87.22,-7572.91,0.02,2.91,0.12,2.35,0.97,0.7,2.64
42389335610000,10.89,94.29,78.46,67.28,62.42,76.21,-8093.62,0.01,1.64,0.37,0.13,0.25,0.56,8.45
42389336170100,9.63,112.14,95.5,72.31,66.36,90.48,-6778.81,0.0,0.58,0.06,0.0,0.0,0.08,87.31
42389336260000,11.29,67.96,103.53,74.03,,55.6,-8050.57,0.0,5.22,0.21,1.84,,0.25,65.02
42389336590000,10.72,111.66,77.12,60.89,57.34,78.05,-8049.72,0.01,3.03,1.35,0.06,1.18,0.0,5.89
42389336820000,10.54,102.4,78.71,68.63,65.1,81.09,-8081.54,0.0,2.91,2.71,0.73,0.56,2.17,1.51
42389337260000,9.29,131.07,84.35,59.79,60.88,77.65,-7495.28,0.01,0.73,0.72,0.26,0.18,1.6,140.4
42389337300000,10.2,84.52,88.3,63.15,66.16,81.45,-8009.55,0.0,19.85,0.32,0.08,0.17,0.12,111.58
42389337630000,10.45,68.52,95.63,75.18,70.43,91.66,-6813.71,0.0,10.86,0.36,0.05,0.11,0.0,19.81
42389337640000,10.42,103.46,101.91,75.6,70.31,92.11,-7284.08,0.0,0.04,6.0,0.02,0.18,3.52,2.21
42389337850000,11.14,97.51,83.21,72.97,,87.09,-8041.86,0.02,2.78,0.11,0.64,,1.14,270.43
42389337880000,8.78,153.21,86.63,54.43,59.66,73.6,-7430.28,0.01,3.41,0.05,0.34,1.75,3.77,118.43
42389337890000,9.16,137.14,85.02,58.64,60.55,76.17,-7482.46,0.0,1.27,0.2,0.02,0.35,2.02,144.71
42389338320000,9.02,62.74,141.57,104.48,88.48,137.79,-6835.01,0.0,0.83,1.1,2.21,3.59,0.01,469.17
42389338690000,11.51,90.03,99.6,78.71,,67.26,-8116.72,0.0,1.3,0.3,0.24,,0.9,509.06
42389338700000,10.57,97.0,77.15,66.24,62.01,77.07,-8089.16,0.01,1.75,1.19,0.1,0.5,0.6,16.85
42389339130000,9.89,128.07,116.14,78.69,72.86,114.01,-7432.64,0.04,13.34,0.28,0.06,0.34,3.22,132.66
42389339220000,9.62,163.01,75.52,58.65,54.57,78.58,-6959.42,0.07,11.27,2.11,5.19,0.1,2.65,688.32
42389339450000,10.06,110.67,77.85,65.29,61.99,82.46,-8057.03,0.01,2.65,0.04,1.02,0.96,1.72,6.71
42389339520000,9.56,92.65,101.29,82.7,84.01,100.43,-6645.46,0.0,51.08,1.45,5.52,9.47,4.75,80.74
42389339910000,10.41,107.88,74.12,65.82,63.94,81.32,-7050.25,0.12,0.9,0.14,0.06,0.18,1.46,496.26
42389339940000,10.02,102.47,95.13,73.24,67.45,90.66,-6708.83,0.01,11.88,0.07,0.01,0.01,0.0,148.38
42389340100000,10.5,113.47,90.54,66.16,63.87,88.89,-7760.69,0.02,6.99,0.01,0.24,0.0,0.04,97.04
42389340280000,10.12,77.19,136.92,110.21,96.36,135.79,-7543.15,0.0,0.47,0.19,0.34,0.92,0.01,248.89
42389340287000,10.12,77.15,136.98,110.36,96.55,135.8,-7543.67,0.0,0.46,0.18,0.28,0.83,0.01,286.4
42389340290000,12.03,100.69,85.79,75.71,,89.2,-8037.74,0.07,3.04,0.1,0.56,,1.57,212.52
42389340330000,10.84,91.95,86.12,66.88,63.9,77.55,-8095.16,0.01,9.31,1.58,8.94,0.01,1.15,10.17
42389340540000,10.13,87.36,83.94,61.95,,80.85,-8022.56,0.01,5.63,0.92,0.01,,0.08,68.15
42389340570000,9.77,121.48,114.98,76.88,73.15,112.49,-7406.25,0.03,9.05,0.26,0.06,0.34,4.0,177.91
42389340670000,9.79,91.59,77.09,53.29,63.65,80.49,-8074.69,0.01,0.28,0.02,2.23,0.11,0.02,34.8
42389340680000,9.84,93.03,77.03,54.21,63.39,80.19,-8071.69,0.01,0.17,0.05,2.18,0.14,0.03,48.88
42389340820100,12.43,113.12,95.06,86.83,,100.19,-7996.39,0.08,2.26,4.03,1.56,,2.47,80.36
42389340830000,11.18,106.53,84.75,70.48,71.39,82.11,-7940.01,0.0,33.71,0.56,0.62,0.0,0.22,6.27
42389340910000,12.57,111.34,94.9,86.43,,100.03,-7992.99,0.05,3.04,1.71,1.95,,2.92,53.44
42389340960000,9.25,103.78,122.48,94.04,91.85,127.5,-7682.76,0.0,3.22,1.84,0.85,1.19,0.06,64.93
42389341070000,10.28,123.4,110.71,76.95,71.64,103.85,-7342.24,0.04,9.59,3.35,0.18,0.17,5.03,145.51
42389341200000,9.23,103.63,122.75,93.8,92.04,128.01,-7672.47,0.0,2.94,1.85,0.83,1.24,0.06,79.98
42389341220000,9.2,103.34,122.53,93.32,91.59,128.42,-7660.46,0.0,2.36,1.6,0.74,0.98,0.06,74.34
