Unformatted_API_UWI_14,ENVOperator,FirstProdDate,LateralLength_FT,ProppantIntensity_LBSPerFT,WaterIntensity_GALPerFT,OilGravity_API,AvgHzDistAtDrillTimeSameZone_FT,ClosestHzDistAtDrillTimeSameZone_FT,WellName,First12MonthOil_BBL,First12MonthGas_MCF
42389378770001,CENTENNIAL RESOURCE DEVELOPMENT,3/1/2019,5599,,,,,,IRON EAGLE UNIT A U 30H,,
42475367520000,OCCIDENTAL,12/1/2014,,,,,,,COVINGTON 34-224 5H,,
42389348180000,EOG,8/1/2015,4840,1618.8347,1578.8008,52,892.936655,892.936655,STATE PHILLIPS 56 304H,136236,632746
42389357070000,EOG,6/1/2017,7140,2427.9006,2421.0706,50,,,STATE APACHE 57 1601H,347799,1396269
42389362780000,CENTENNIAL RESOURCE DEVELOPMENT,2/1/2018,9409,2.3860135,,47,713.7019719,707.7011075,SAMURAI 4-49 50 U 42H,180121,1352959
42109332180000,COTERRA ENERGY,5/1/2019,12515,2303.2175,1888.459,50,,,AZRA STATE 16 UNIT 1H,87447,824630
42475374510000,CALLON,7/1/2018,7401,2018.752,2409.913,49,,,SRO 551 ALLOC. A 100H,115643,834480
42389368420000,"MAPLE ENERGY HOLDINGS, LLC",4/1/2019,5967,2491.83,2899.2822,50,1384.075239,1384.075239,TOYAH B 2H,52818,1082623
42389372320000,EOG,10/1/2018,7338,2358.759,2118.865,50,,,STATE COACHMAN B UNIT 3H,154023,910231
42389379220000,CENTENNIAL RESOURCE DEVELOPMENT,5/1/2019,9566,2831.7725,3048.1392,46,942.0675044,893.7028986,PARKER E U 37H,155782,466779
42389384300000,UPCURVE ENERGY,12/1/2019,8602,2777.7285,3414.768,45,2136.332463,2136.332463,WINKLER STATE 34 4H,91262.336,192270.9
42389385130000,UPCURVE ENERGY,4/1/2021,9764,2306.5974,1926.6145,47,750.5723488,750.5723488,HERD 20 4H,,
42389354360000,CHEVRON,5/1/2017,10214,2994.2922,3084.549,44,,,WILL ROGERS STATE 4-3 UNIT A 1H,237006.73,390127.12
42389348310001,OCCIDENTAL,1/1/2017,4007,,,,,,SHERIDAN 55-4-5 1H,,
42389384300100,UPCURVE ENERGY,12/1/2019,8602.018,,,,,,WINKLER STATE 34 4H,,
42109328590100,1920 ENERGY,10/1/2015,,,,,,,MUSTANG STATE UNIT 1H,,
42389368429000,"MAPLE ENERGY HOLDINGS, LLC",4/1/2019,,,,,,,TOYAH B 2H,,
42389391730000,CENTENNIAL RESOURCE DEVELOPMENT,1/1/2021,7792,2275.109,2194.8137,48,,,VINTAGE UNIT A U 19H,92365,486145.5
42109328599000,1920 ENERGY,10/1/2015,,,,,,,MUSTANG STATE UNIT 1H,,
42389348100000,EXXON,7/1/2016,,,,,,,HURLEY 56-18 1H,,
42389353000000,CENTENNIAL RESOURCE DEVELOPMENT,11/1/2016,5009,1955.8235,2274.8057,45,2626.682075,2626.682075,SIEBER TRUST 4H,249044,652715
42389348310000,OCCIDENTAL,1/1/2017,4107,2527.8257,2368.3623,48,,,SHERIDAN 55-4-5 1H,2051,24
42389349140000,OCCIDENTAL,9/1/2015,4558,,27.643703,43,630.3403961,630.3403961,LENOX 2 12H,69329.46,118991.46
42389348690000,EOG,8/1/2015,4884,1997.0004,1681.4791,48,483.8902085,476.7135713,STATE APACHE 57 102H,117941,368723
42301316250000,SHELL,4/1/2013,4242,,1048.2249,54,,,LINDLEY 55-2-32 LOV 1H,90392,328787
42109328810000,APR OPERATING,6/1/2017,1831,2624.0088,2459.5117,55,,,COTTONWOOD WEST ASHER 2307 H,,
42389358490000,COTERRA ENERGY,11/1/2017,7724,1799.1779,1682.6372,49,,,LONG YUENGLING U 04H,198171,914908
42389360400000,CONOCOPHILLIPS,8/1/2018,10984,1881.6068,2157.2769,43,923.6600876,921.5315666,HOLLYWOOD UNIT 1405H,122718.586,441950.06
42389365430000,EOG,6/1/2018,9940,2123.135,1535.662,49,1326.731476,1322.783665,STATE JOBE 40-6 UNIT 5H,131646,819694
42475373290000,SHELL,10/1/2018,4816,2381.7458,1201.7616,46,885.3545685,854.3393266,ZPZ 34-196 WRD UNIT 2H,53623,249317
42389368600000,TALL CITY OPERATIONS,8/1/2018,9643,2392.351,2139.5952,45,,,TASHA 17-20A 1H,89879,134171
42389370910000,CENTENNIAL RESOURCE DEVELOPMENT,8/1/2018,9301,,2278.1257,45,715.776977,671.3988552,PARKER D U 04H,116949,291226
