,First12MonthOil_BBL,LateralLength_FT,ProppantIntensity_LBSPerFT,WaterIntensity_GALPerFT,OilGravity_API,AvgHzDistAtDrillTimeSameZone_FT,ClosestHzDistAtDrillTimeSameZone_FT,MEDIAN_WFMP Upper A - ARITH_MEAN_DPHI_100,MEDIAN_WFMP Upper A - ARITH_MEAN_Resistivity_ALS,MEDIAN_WFMP Upper A - GROSS,MEDIAN_WFMP Upper A - NET_DPHI>8,MEDIAN_WFMP Upper A - NET_GR>75_DPHI>8,MEDIAN_WFMP Upper A - NET_Res>30,MEDIAN_WFMP_UA_MRKR_SSTVD,VARIANCE_WFMP Upper A - ARITH_MEAN_DPHI_100,VARIANCE_WFMP Upper A - ARITH_MEAN_Resistivity_ALS,VARIANCE_WFMP Upper A - GROSS,VARIANCE_WFMP Upper A - NET_DPHI>8,VARIANCE_WFMP Upper A - NET_GR>75_DPHI>8,VARIANCE_WFMP Upper A - NET_Res>30,VARIANCE_WFMP_UA_MRKR_SSTVD,gor scf/stb
210,326324.0,10310.0,2508.7341,1950.4299,47.0,1028.905286,1028.905286,9.06,93.44,111.74,65.72,77.37,109.05,-7861.67,0.0,31.73,2.02,17.28,0.07,1.07,979.28,4424.247067331854
211,205729.0,5191.0,2098.301,2108.204,50.0,2600.0,2600.0,9.07,105.9,112.91,75.1,75.99,118.51,-7429.38,0.03,10.79,2.66,0.02,1.08,4.13,103.63,3584.341536681751
212,179000.11,7597.0,1754.5946,1558.214,43.0,1526.123531,786.8060166,10.04,101.66,79.29,57.96,60.33,77.59,-8101.28,0.02,4.17,2.08,3.66,0.34,0.59,134.42,2412.7010313010423
213,24260.0,4404.0,1978.2439,2148.4124,51.0,2600.0,2600.0,10.73,77.87,70.7,54.95,57.78,88.62,-6436.58,0.06,2.94,0.88,8.18,3.11,0.01,199.17,9230.915086562243
214,41446.0,4050.0,607.40466,790.36743,42.0,2600.0,2600.0,9.81,131.11,82.26,68.16,47.79,93.42,-7564.81,0.17,9.66,1.35,9.3,2.32,1.22,22.41,1634.415866428606
215,201255.27,4986.0,1122.0792,1121.8275,45.0,2600.0,2600.0,10.13,87.36,83.94,61.95,,80.85,-8022.56,0.01,5.63,0.92,0.01,,0.08,68.15,2182.016898240727
216,52036.31,4416.0,,24.92799,43.0,1220.882585,635.6573433,9.96,101.44,77.43,63.09,59.89,77.89,-8081.81,0.03,1.06,3.14,0.01,0.89,0.46,25.22,2007.4420150083663
217,34216.574,3874.0,1197.9866,1331.413,43.0,615.4360931,615.4360931,9.79,91.59,77.09,53.29,63.65,80.49,-8074.69,0.01,0.28,0.02,2.23,0.11,0.02,34.8,2957.137672520925
218,,,,,,2600.0,2600.0,9.31,83.77,90.32,67.77,64.5,78.64,-6947.26,0.03,241.94,32.05,9.11,6.8,7.22,5031.04,
219,188102.0,4508.0,3065.2498,2958.6038,44.0,721.7805448,721.7805448,10.78,80.48,81.93,68.98,66.65,80.28,-7897.08,0.03,33.04,0.91,2.13,0.98,1.29,241.27,2014.167845105315
